index,wiki_name,wiki_artist,year,sp_id,sp_name,sp_artist,duration,audio_features,flag
3093,"""once bitten, twice shy""",great white,1989,7pkWZL0kA26s754CwyK0SH,once bitten twice shy,great white,322896,"{'danceability': 0.723, 'energy': 0.541, 'key': 0, 'loudness': -14.021, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.028, 'instrumentalness': 0.00339, 'liveness': 0.133, 'valence': 0.607, 'tempo': 131.675}",0
3094,"""batdance""",prince,1989,4DbUk1qwcz9KKcUY4t8f8u,batdance,prince,373733,"{'danceability': 0.594, 'energy': 0.702, 'key': 1, 'loudness': -9.894, 'mode': 1, 'speechiness': 0.0842, 'acousticness': 0.168, 'instrumentalness': 0.109, 'liveness': 0.142, 'valence': 0.466, 'tempo': 135.406}",0
3095,"""rock on""",michael damian,1989,6e3O5XkMEhMAatdKnOlZPh,rock on - ver. 09,michael damian,212348,"{'danceability': 0.433, 'energy': 0.798, 'key': 1, 'loudness': -3.603, 'mode': 0, 'speechiness': 0.0805, 'acousticness': 0.0315, 'instrumentalness': 0.00196, 'liveness': 0.048, 'valence': 0.584, 'tempo': 168.247}",0
3096,"""real love""",jody watley,1989,0vbbwEUSkZf3oA1dLlIoFL,real love,jody watley,261440,"{'danceability': 0.7, 'energy': 0.727, 'key': 7, 'loudness': -8.341, 'mode': 1, 'speechiness': 0.0737, 'acousticness': 0.00241, 'instrumentalness': 0.00131, 'liveness': 0.0267, 'valence': 0.704, 'tempo': 109.165}",0
3097,"""love shack""",the b-52's,1989,4W4wYHtsrgDiivRASVOINL,love shack,the b-52s,320680,"{'danceability': 0.701, 'energy': 0.803, 'key': 5, 'loudness': -6.786, 'mode': 0, 'speechiness': 0.0545, 'acousticness': 0.0544, 'instrumentalness': 1.54e-06, 'liveness': 0.7, 'valence': 0.903, 'tempo': 133.608}",0
3098,"""every little step""",bobby brown,1989,0s6e7ZafqOAUBDoQYGmxrc,every little step,bobby brown,237240,"{'danceability': 0.797, 'energy': 0.656, 'key': 1, 'loudness': -11.601, 'mode': 1, 'speechiness': 0.0404, 'acousticness': 0.00721, 'instrumentalness': 0, 'liveness': 0.0377, 'valence': 0.948, 'tempo': 99.828}",0
3099,"""hangin tough""",new kids on the block,1989,16flEBCtUF67V5yO0GxYWn,hangin tough,new kids on the block,256560,"{'danceability': 0.763, 'energy': 0.552, 'key': 6, 'loudness': -11.98, 'mode': 1, 'speechiness': 0.0449, 'acousticness': 0.119, 'instrumentalness': 0.000695, 'liveness': 0.28, 'valence': 0.744, 'tempo': 90.775}",0
3100,"""my heart cant tell you no""",rod stewart,1989,3kGYLi6txRaQk4etwh3l3p,my heart cant tell you no,sara evans,273200,"{'danceability': 0.557, 'energy': 0.652, 'key': 6, 'loudness': -5.4, 'mode': 0, 'speechiness': 0.025, 'acousticness': 0.175, 'instrumentalness': 0, 'liveness': 0.256, 'valence': 0.465, 'tempo': 89.992}",0
3101,"""so alive""",love and rockets,1989,7pfP8Z9M9KRUtzTLcnjem5,so alive,love and rockets,257826,"{'danceability': 0.698, 'energy': 0.567, 'key': 10, 'loudness': -13.968, 'mode': 1, 'speechiness': 0.0296, 'acousticness': 0.00548, 'instrumentalness': 0.234, 'liveness': 0.147, 'valence': 0.919, 'tempo': 118.826}",0
3102,"""you got it (the right stuff)""",new kids on the block,1989,4buDeg67vos7KP1yHrS9wl,you got it (the right stuff),new kids on the block,249960,"{'danceability': 0.787, 'energy': 0.522, 'key': 0, 'loudness': -13.029, 'mode': 0, 'speechiness': 0.0578, 'acousticness': 0.0126, 'instrumentalness': 1.34e-06, 'liveness': 0.0671, 'valence': 0.923, 'tempo': 111.576}",0
3103,"""armageddon it""",def leppard,1989,16MQZkAIAAtI4X5NuiEwuq,armageddon it - remastered 2017,def leppard,322866,"{'danceability': 0.65, 'energy': 0.921, 'key': 9, 'loudness': -6.014, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 0.000798, 'instrumentalness': 0.0298, 'liveness': 0.134, 'valence': 0.648, 'tempo': 119.8}",0
3104,"""satisfied""",richard marx,1989,4V87hYB94wu8DFtd901riK,satisfied,richard marx,254466,"{'danceability': 0.572, 'energy': 0.914, 'key': 8, 'loudness': -8.436, 'mode': 1, 'speechiness': 0.0311, 'acousticness': 0.0717, 'instrumentalness': 0.00776, 'liveness': 0.319, 'valence': 0.843, 'tempo': 108.991}",0
3105,"""express yourself""",madonna,1989,6ioBgySxoeQKALvAeLEmId,express yourself,madonna,239093,"{'danceability': 0.667, 'energy': 0.93, 'key': 7, 'loudness': -4.585, 'mode': 1, 'speechiness': 0.0608, 'acousticness': 0.0108, 'instrumentalness': 0, 'liveness': 0.176, 'valence': 0.893, 'tempo': 115.57}",0
3106,"""i like it""",dino,1989,1UHXwhhhyyikWEa3h79sNF,i like it,dino,307200,"{'danceability': 0.786, 'energy': 0.659, 'key': 4, 'loudness': -11.792, 'mode': 0, 'speechiness': 0.0919, 'acousticness': 0.00384, 'instrumentalness': 0.0107, 'liveness': 0.0663, 'valence': 0.935, 'tempo': 108.288}",0
3107,"""soldier of love""",donny osmond,1989,1I0HPyA358wezY1aCpuLBS,"soldier of love - 12"" version",donny osmond,353440,"{'danceability': 0.498, 'energy': 0.95, 'key': 10, 'loudness': -5.786, 'mode': 0, 'speechiness': 0.061, 'acousticness': 0.0507, 'instrumentalness': 0.00324, 'liveness': 0.168, 'valence': 0.889, 'tempo': 192.563}",0
