index,wiki_name,wiki_artist,year,sp_id,sp_name,sp_artist,duration,audio_features,flag
0,"""volare (nel blu dipinto di blu)""",domenico modugno,1958,1aSLWs30nitk2RRoEWjS0i,volare (nel blu dipinto di blu) - remastered,domenico modugno,214209,"{'danceability': 0.532, 'energy': 0.153, 'key': 10, 'loudness': -11.707, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.966, 'instrumentalness': 3.94e-05, 'liveness': 0.333, 'valence': 0.435, 'tempo': 64.52}",0
1,"""all i have to do is dream"" / ""claudette""",the everly brothers,1958,,,,,,1
2,"""dont"" / ""i beg of you""",elvis presley,1958,,,,,,1
3,"""witch doctor""",david seville,1958,4kovpzSYYoguJxUXQesQ13,witch doctor,david seville,145360,"{'danceability': 0.627, 'energy': 0.624, 'key': 7, 'loudness': -5.659, 'mode': 1, 'speechiness': 0.0482, 'acousticness': 0.726, 'instrumentalness': 0, 'liveness': 0.146, 'valence': 0.897, 'tempo': 139.305}",0
4,"""patricia""",perez prado,1958,2bwhOdCOLgQ8v6xStAqnju,patricia,pérez prado,140000,"{'danceability': 0.699, 'energy': 0.715, 'key': 1, 'loudness': -5.976, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.18, 'instrumentalness': 0.415, 'liveness': 0.0704, 'valence': 0.81, 'tempo': 137.373}",0
5,"""sail along, silvry moon"" / ""raunchy""",billy vaughn,1958,,,,,,1
6,"""catch a falling star"" / ""magic moments""",perry como,1958,,,,,,1
7,"""tequila""",the champs,1958,5gJKsGij5oGt5H5RSFYXPa,tequila,the champs,135240,"{'danceability': 0.671, 'energy': 0.742, 'key': 5, 'loudness': -9.912, 'mode': 1, 'speechiness': 0.0441, 'acousticness': 0.121, 'instrumentalness': 0.679, 'liveness': 0.0601, 'valence': 0.897, 'tempo': 89.748}",0
8,"""its all in the game""",tommy edwards,1958,2lmPUdIdzlFH64PWJrw6Zb,its all in the game,tommy edwards,159040,"{'danceability': 0.384, 'energy': 0.276, 'key': 3, 'loudness': -13.527, 'mode': 1, 'speechiness': 0.0295, 'acousticness': 0.038, 'instrumentalness': 0, 'liveness': 0.309, 'valence': 0.654, 'tempo': 105.181}",0
9,"""return to me""",dean martin,1958,6YAgmqaeo8Fm3pne8OJEBo,return to me (ritorna-me) - 1997 remaster,dean martin,144800,"{'danceability': 0.267, 'energy': 0.205, 'key': 2, 'loudness': -13.75, 'mode': 1, 'speechiness': 0.0348, 'acousticness': 0.966, 'instrumentalness': 0.00203, 'liveness': 0.113, 'valence': 0.178, 'tempo': 88.584}",0
10,"""its only make believe""",conway twitty,1958,1xVOttVNT27FBTD8iHjOfU,its only make believe,conway twitty,132026,"{'danceability': 0.461, 'energy': 0.466, 'key': 11, 'loudness': -9.627, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.86, 'instrumentalness': 2.76e-05, 'liveness': 0.135, 'valence': 0.251, 'tempo': 128.537}",0
11,"""the purple people eater""",sheb wooley,1958,0WkZQPNC0c7yrsMX1arVAd,the purple people eater,sheb wooley,137960,"{'danceability': 0.643, 'energy': 0.617, 'key': 9, 'loudness': -5.006, 'mode': 1, 'speechiness': 0.0801, 'acousticness': 0.823, 'instrumentalness': 0, 'liveness': 0.33, 'valence': 0.881, 'tempo': 157.748}",0
12,"""bird dog"" / ""devoted to you""",the everly brothers,1958,,,,,,1
13,"""get a job""",the silhouettes,1958,21NhrNOfIoakyWISXUMkFN,get a job,the silhouettes,169706,"{'danceability': 0.625, 'energy': 0.425, 'key': 7, 'loudness': -9.962, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 0.652, 'instrumentalness': 0.000525, 'liveness': 0.124, 'valence': 0.829, 'tempo': 80.024}",0
14,"""little star""",the elegants,1958,3c7KT5CN8uYRaK3xThhdYt,little star,the elegants,162773,"{'danceability': 0.408, 'energy': 0.397, 'key': 9, 'loudness': -12.536, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.873, 'instrumentalness': 0, 'liveness': 0.28, 'valence': 0.697, 'tempo': 72.615}",0
15,"""twilight time""",the platters,1958,3MpGQae6zAFd7Z1FdLV9fV,twilight time - single version,the platters,168293,"{'danceability': 0.455, 'energy': 0.361, 'key': 9, 'loudness': -12.562, 'mode': 1, 'speechiness': 0.0473, 'acousticness': 0.747, 'instrumentalness': 0, 'liveness': 0.238, 'valence': 0.285, 'tempo': 115.854}",0
16,"""stood up"" / ""waitin in school""",ricky nelson,1958,,,,,,1
17,"""hes got the whole world in his hands""",laurie london,1958,1pmTmzgbo4Y73DZuQ4cLae,hes got the whole world in his hands,laurie london,141520,"{'danceability': 0.792, 'energy': 0.33, 'key': 7, 'loudness': -11.148, 'mode': 1, 'speechiness': 0.0387, 'acousticness': 0.695, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.771, 'tempo': 111.552}",0
18,"""secretly""",jimmie rodgers,1958,4jDVGv8E9MWWcVJJPl22t3,secretly,jimmie rodgers,157866,"{'danceability': 0.704, 'energy': 0.467, 'key': 10, 'loudness': -10.421, 'mode': 0, 'speechiness': 0.0328, 'acousticness': 0.852, 'instrumentalness': 1.61e-06, 'liveness': 0.109, 'valence': 0.344, 'tempo': 76.625}",0
19,"""at the hop""",danny & the juniors,1958,4LcrHUkRmXG3c0YD5VYutn,at the hop,danny & the juniors,150866,"{'danceability': 0.407, 'energy': 0.826, 'key': 8, 'loudness': -8.29, 'mode': 1, 'speechiness': 0.0495, 'acousticness': 0.693, 'instrumentalness': 1.57e-05, 'liveness': 0.285, 'valence': 0.891, 'tempo': 192.21}",0
20,"""yakety yak""",the coasters,1958,7demHL0GXA6YmTNqw3Btz8,yakety yak,the coasters,113040,"{'danceability': 0.715, 'energy': 0.669, 'key': 7, 'loudness': -9.491, 'mode': 1, 'speechiness': 0.128, 'acousticness': 0.705, 'instrumentalness': 0.000732, 'liveness': 0.044, 'valence': 0.976, 'tempo': 120.789}",0
21,"""wear my ring around your neck"" / ""doncha think its time""",elvis presley,1958,,,,,,1
22,"""rockin robin"" / ""over and over""",bobby day,1958,,,,,,1
23,"""poor little fool""",ricky nelson,1958,5ayybTSXNwcarDtxQKqvWX,poor little fool - remastered,ricky nelson,153933,"{'danceability': 0.474, 'energy': 0.338, 'key': 0, 'loudness': -11.528, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.648, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.81, 'tempo': 154.596}",0
24,"""a wonderful time up there"" / ""its too soon to know""",pat boone,1958,,,,,,1
25,"""just a dream""",jimmy clanton,1958,1LeSp4o3CeNhJz3kCWgi6E,just a dream,jimmy clanton,152946,"{'danceability': 0.437, 'energy': 0.539, 'key': 7, 'loudness': -4.072, 'mode': 1, 'speechiness': 0.0395, 'acousticness': 0.69, 'instrumentalness': 0, 'liveness': 0.0655, 'valence': 0.671, 'tempo': 125.325}",0
26,"""sugartime""",the mcguire sisters,1958,5PxXL8vITHyS4TViMtOEgx,sugartime,the mcguire sisters,153706,"{'danceability': 0.414, 'energy': 0.577, 'key': 0, 'loudness': -7.894, 'mode': 1, 'speechiness': 0.0518, 'acousticness': 0.618, 'instrumentalness': 0, 'liveness': 0.27, 'valence': 0.862, 'tempo': 192.845}",0
27,"""tom dooley""",the kingston trio,1958,2qLxtO0iaFGI9x19vU3bDI,tom dooley,the kingston trio,183973,"{'danceability': 0.649, 'energy': 0.144, 'key': 4, 'loudness': -13.986, 'mode': 1, 'speechiness': 0.0418, 'acousticness': 0.806, 'instrumentalness': 4.55e-06, 'liveness': 0.105, 'valence': 0.458, 'tempo': 125.74}",0
28,"""sweet little sixteen""",chuck berry,1958,4GWHrdyVTC0AWwuRgoWzE7,sweet little sixteen,chuck berry,180746,"{'danceability': 0.507, 'energy': 0.627, 'key': 1, 'loudness': -7.838, 'mode': 1, 'speechiness': 0.0354, 'acousticness': 0.575, 'instrumentalness': 0, 'liveness': 0.198, 'valence': 0.962, 'tempo': 175.309}",0
29,"""topsy ii"" / ""topsy i""",cozy cole,1958,,,,,,1
30,"""looking back"" / ""do i like it""",nat king cole,1958,,,,,,1
31,"""book of love""",the monotones,1958,1N131UBLlYAUJNVpHOfEc1,the book of love,the monotones,138440,"{'danceability': 0.428, 'energy': 0.594, 'key': 10, 'loudness': -12.716, 'mode': 1, 'speechiness': 0.379, 'acousticness': 0.734, 'instrumentalness': 0, 'liveness': 0.567, 'valence': 0.556, 'tempo': 198.67}",0
32,"""tea for two cha cha""",tommy dorsey orchestra & warren covington,1958,3QWUoUlkbCJPAD0YhLjtLS,tea for two cha cha - remastered,tommy dorsey orchestra,175217,"{'danceability': 0.907, 'energy': 0.732, 'key': 8, 'loudness': -11.093, 'mode': 1, 'speechiness': 0.127, 'acousticness': 0.2, 'instrumentalness': 0.43, 'liveness': 0.104, 'valence': 0.646, 'tempo': 118.463}",0
33,"""tears on my pillow""",little anthony and the imperials,1958,07ePHsQ0SopWrnCbNjNC2D,tears on my pillow,little anthony & the imperials,140533,"{'danceability': 0.432, 'energy': 0.202, 'key': 0, 'loudness': -14.518, 'mode': 1, 'speechiness': 0.0283, 'acousticness': 0.908, 'instrumentalness': 0, 'liveness': 0.181, 'valence': 0.641, 'tempo': 100.082}",0
34,"""short shorts""",the royal teens,1958,756uYvC1DUUPGDsbkTBOGS,short shorts - wondagurl remix,the royal teens,169959,"{'danceability': 0.813, 'energy': 0.853, 'key': 8, 'loudness': -7.379, 'mode': 1, 'speechiness': 0.0438, 'acousticness': 0.00442, 'instrumentalness': 0.899, 'liveness': 0.265, 'valence': 0.965, 'tempo': 138.057}",0
35,"""great balls of fire""",jerry lee lewis,1958,64VP3skE86iTvdOlbzuIcO,great balls of fire,jerry lee lewis,111535,"{'danceability': 0.533, 'energy': 0.729, 'key': 7, 'loudness': -7.227, 'mode': 0, 'speechiness': 0.0714, 'acousticness': 0.563, 'instrumentalness': 0, 'liveness': 0.159, 'valence': 0.884, 'tempo': 78.67}",0
36,"""lollipop""",the chordettes,1958,1hFB1obL3dCyIDigkojSTm,lollipop,the chordettes,130533,"{'danceability': 0.65, 'energy': 0.593, 'key': 7, 'loudness': -6.374, 'mode': 0, 'speechiness': 0.122, 'acousticness': 0.585, 'instrumentalness': 0.00244, 'liveness': 0.441, 'valence': 0.825, 'tempo': 143.179}",0
37,"""splish splash""",bobby darin,1958,40fD7ct05FvQHLdQTgJelG,splish splash,bobby darin,131719,"{'danceability': 0.645, 'energy': 0.943, 'key': 0, 'loudness': -1.526, 'mode': 1, 'speechiness': 0.0393, 'acousticness': 0.385, 'instrumentalness': 0, 'liveness': 0.37, 'valence': 0.965, 'tempo': 147.768}",0
38,"""whos sorry now?""",connie francis,1958,4bzvhZFlV9UqQ3EmV2i8s4,whos sorry now,connie francis,136626,"{'danceability': 0.522, 'energy': 0.326, 'key': 3, 'loudness': -6.448, 'mode': 1, 'speechiness': 0.0273, 'acousticness': 0.755, 'instrumentalness': 2.26e-05, 'liveness': 0.36, 'valence': 0.443, 'tempo': 87.535}",0
39,"""my true love"" / ""leroy""",jack scott,1958,,,,,,1
40,"""endless sleep""",jody reynolds,1958,7cb19X9Bavre8c1kUR1cGH,endless sleep,jody reynolds,143680,"{'danceability': 0.625, 'energy': 0.185, 'key': 4, 'loudness': -10.635, 'mode': 1, 'speechiness': 0.0409, 'acousticness': 0.815, 'instrumentalness': 2.74e-05, 'liveness': 0.117, 'valence': 0.565, 'tempo': 110.723}",0
41,"""do you want to dance?""",bobby freeman,1958,4wXPZBafMKbTtdOB7BVGcp,do you want to dance,bobby freeman,165693,"{'danceability': 0.625, 'energy': 0.438, 'key': 0, 'loudness': -12.003, 'mode': 1, 'speechiness': 0.0499, 'acousticness': 0.517, 'instrumentalness': 3.62e-05, 'liveness': 0.155, 'valence': 0.957, 'tempo': 155.534}",0
42,"""when""",the kalin twins,1958,086myS9r57YsLbJpU0TgK9,whyd you only call me when youre high?,arctic monkeys,161123,"{'danceability': 0.691, 'energy': 0.631, 'key': 2, 'loudness': -6.478, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.0483, 'instrumentalness': 1.13e-05, 'liveness': 0.104, 'valence': 0.8, 'tempo': 92.004}",1
43,"""to know him is to love him""",the teddy bears,1958,5msxn2HUcd83qOsuQW7Kdb,to know him is to love him,the teddy bears,144840,"{'danceability': 0.26, 'energy': 0.312, 'key': 2, 'loudness': -9.614, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.939, 'instrumentalness': 3.66e-05, 'liveness': 0.1, 'valence': 0.396, 'tempo': 174.392}",0
44,"""april love""",pat boone,1958,5ax1MN2MGW0ZJXquCkpuLM,april love,pat boone,161200,"{'danceability': 0.388, 'energy': 0.169, 'key': 8, 'loudness': -14.834, 'mode': 1, 'speechiness': 0.032, 'acousticness': 0.828, 'instrumentalness': 0.0135, 'liveness': 0.0812, 'valence': 0.498, 'tempo': 91.323}",0
45,"""rebel-rouser""",duane eddy,1958,4nAJtcmiyoL0ARY5WZY9IN,rebel rouser,duane eddy,153533,"{'danceability': 0.388, 'energy': 0.434, 'key': 7, 'loudness': -11.997, 'mode': 1, 'speechiness': 0.0354, 'acousticness': 0.789, 'instrumentalness': 0.954, 'liveness': 0.728, 'valence': 0.873, 'tempo': 206.313}",0
46,"""oh julie""",the crescendos,1958,04FN5fDRtEmUkFvadIV9qI,oh julie,the crescendos,164226,"{'danceability': 0.468, 'energy': 0.416, 'key': 10, 'loudness': -7.265, 'mode': 1, 'speechiness': 0.0308, 'acousticness': 0.868, 'instrumentalness': 0.000214, 'liveness': 0.0852, 'valence': 0.521, 'tempo': 93.891}",0
47,"""the stroll""",the diamonds,1958,3LrrLUUgurCR11FmaLMnAT,the stroll,the diamonds,150360,"{'danceability': 0.571, 'energy': 0.667, 'key': 5, 'loudness': -8.152, 'mode': 1, 'speechiness': 0.0305, 'acousticness': 0.853, 'instrumentalness': 3.28e-05, 'liveness': 0.248, 'valence': 0.69, 'tempo': 142.709}",0
48,"""hard headed woman"" / ""dont ask me why""",elvis presley,1958,,,,,,1
49,"""peggy sue""",buddy holly,1958,2OARIMw1hpehr86Iwmv04c,peggy sue,buddy holly,150960,"{'danceability': 0.676, 'energy': 0.424, 'key': 9, 'loudness': -8.132, 'mode': 1, 'speechiness': 0.0329, 'acousticness': 0.947, 'instrumentalness': 0.000494, 'liveness': 0.119, 'valence': 0.493, 'tempo': 148.373}",0
50,"""the battle of new orleans""",johnny horton,1959,66eFGhs8LXeBgrXk0YgRJK,the battle of new orleans,johnny horton,151506,"{'danceability': 0.704, 'energy': 0.743, 'key': 9, 'loudness': -12.069, 'mode': 1, 'speechiness': 0.129, 'acousticness': 0.805, 'instrumentalness': 0, 'liveness': 0.205, 'valence': 0.92, 'tempo': 177.362}",0
51,"""mack the knife""",bobby darin,1959,3E5ndyOfO6vFDEIE42HA8o,mack the knife,bobby darin,184333,"{'danceability': 0.549, 'energy': 0.529, 'key': 3, 'loudness': -12.291, 'mode': 0, 'speechiness': 0.108, 'acousticness': 0.76, 'instrumentalness': 0, 'liveness': 0.206, 'valence': 0.464, 'tempo': 82.755}",0
52,"""personality""",lloyd price,1959,5vjigjfoXuJEttqLB3HTAg,personality,lloyd price,157733,"{'danceability': 0.591, 'energy': 0.454, 'key': 5, 'loudness': -8.936, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.744, 'instrumentalness': 0, 'liveness': 0.0989, 'valence': 0.865, 'tempo': 128.909}",0
53,"""venus""",frankie avalon,1959,5kqXQHIgQ6UfFP9LfqPNgG,venus,frankie avalon,144483,"{'danceability': 0.576, 'energy': 0.347, 'key': 10, 'loudness': -18.755, 'mode': 1, 'speechiness': 0.0317, 'acousticness': 0.852, 'instrumentalness': 0.599, 'liveness': 0.124, 'valence': 0.85, 'tempo': 114.883}",0
54,"""lonely boy""",paul anka,1959,4kh2S9hRpPvoF9JkwZcYGN,lonely boy,paul anka,151106,"{'danceability': 0.623, 'energy': 0.605, 'key': 0, 'loudness': -9.923, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.352, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.804, 'tempo': 106.163}",0
55,"""dream lover""",bobby darin,1959,1KLpjQFgubHI3GkAICCNH3,dream lover,bobby darin,150706,"{'danceability': 0.526, 'energy': 0.774, 'key': 5, 'loudness': -1.692, 'mode': 1, 'speechiness': 0.0459, 'acousticness': 0.715, 'instrumentalness': 0, 'liveness': 0.437, 'valence': 0.715, 'tempo': 131.715}",0
56,"""the three bells""",the browns,1959,24SbmQo3XQkNLpSBYda4DA,the three bells,the browns,169573,"{'danceability': 0.47, 'energy': 0.159, 'key': 7, 'loudness': -14.795, 'mode': 1, 'speechiness': 0.0403, 'acousticness': 0.893, 'instrumentalness': 0, 'liveness': 0.124, 'valence': 0.418, 'tempo': 106.488}",0
57,"""come softly to me""",the fleetwoods,1959,603N4XGJUTbK760GLCvIIs,come softly to me,the fleetwoods,144933,"{'danceability': 0.601, 'energy': 0.095, 'key': 1, 'loudness': -18.478, 'mode': 1, 'speechiness': 0.0374, 'acousticness': 0.93, 'instrumentalness': 0.000285, 'liveness': 0.116, 'valence': 0.672, 'tempo': 122.975}",0
58,"""kansas city""",wilbert harrison,1959,4GvyP7CnBJEV2t7L7vOkjw,kansas city,wilbert harrison,150333,"{'danceability': 0.727, 'energy': 0.665, 'key': 1, 'loudness': -6.453, 'mode': 1, 'speechiness': 0.0352, 'acousticness': 0.653, 'instrumentalness': 0.233, 'liveness': 0.349, 'valence': 0.912, 'tempo': 114.979}",0
59,"""mr. blue""",the fleetwoods,1959,6bnFjTW3EnMG4BwreDnSHK,mr. blue,the fleetwoods,145133,"{'danceability': 0.374, 'energy': 0.0889, 'key': 4, 'loudness': -17.475, 'mode': 1, 'speechiness': 0.0356, 'acousticness': 0.931, 'instrumentalness': 6.88e-06, 'liveness': 0.111, 'valence': 0.211, 'tempo': 96.677}",0
60,"""sleep walk""",santo & johnny,1959,0yK8sWD6cfrc7pGfaPIcZH,sleep walk,santo & johnny,145333,"{'danceability': 0.779, 'energy': 0.212, 'key': 10, 'loudness': -9.759, 'mode': 0, 'speechiness': 0.0362, 'acousticness': 0.759, 'instrumentalness': 0.959, 'liveness': 0.235, 'valence': 0.444, 'tempo': 94.675}",0
61,"""put your head on my shoulder""",paul anka,1959,2DpJ9T2RVRanZcYFHKOAfA,put your head on my shoulder,paul anka,154733,"{'danceability': 0.547, 'energy': 0.335, 'key': 4, 'loudness': -9.2, 'mode': 0, 'speechiness': 0.0307, 'acousticness': 0.747, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.474, 'tempo': 115.838}",0
62,"""stagger lee""",lloyd price,1959,7qoaMWT3eRCKG1RN6dVuOY,stagger lee,lloyd price,144626,"{'danceability': 0.439, 'energy': 0.638, 'key': 3, 'loudness': -6.859, 'mode': 1, 'speechiness': 0.0307, 'acousticness': 0.707, 'instrumentalness': 0, 'liveness': 0.175, 'valence': 0.781, 'tempo': 69.57}",0
63,"""donna""",ritchie valens,1959,0VE4ayVlGs5DBoqOdgJ0Zv,donna - single version,ritchie valens,150973,"{'danceability': 0.472, 'energy': 0.225, 'key': 5, 'loudness': -12.581, 'mode': 1, 'speechiness': 0.0263, 'acousticness': 0.864, 'instrumentalness': 0, 'liveness': 0.111, 'valence': 0.29, 'tempo': 100.299}",0
64,"""pink shoe laces""",dodie stevens,1959,2DifRe6kiKZjeB1IqFl2jJ,pink shoe laces,dodie stevens,145160,"{'danceability': 0.758, 'energy': 0.587, 'key': 5, 'loudness': -10.462, 'mode': 0, 'speechiness': 0.107, 'acousticness': 0.678, 'instrumentalness': 0, 'liveness': 0.324, 'valence': 0.882, 'tempo': 85.81}",0
65,"""smoke gets in your eyes""",the platters,1959,2vSxjnyrWrtxyfzO47EX6q,smoke gets in your eyes,the platters,160933,"{'danceability': 0.203, 'energy': 0.295, 'key': 3, 'loudness': -11.155, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.92, 'instrumentalness': 2.05e-06, 'liveness': 0.173, 'valence': 0.285, 'tempo': 171.222}",0
66,"""charlie brown""",the coasters,1959,6Q0aBakbTsjQO6iGdxmXlx,charlie brown,the coasters,141666,"{'danceability': 0.646, 'energy': 0.628, 'key': 3, 'loudness': -8.794, 'mode': 1, 'speechiness': 0.243, 'acousticness': 0.404, 'instrumentalness': 5.03e-06, 'liveness': 0.00967, 'valence': 0.881, 'tempo': 125.705}",0
67,"""quiet village""",martin denny,1959,3ZI49HJE66dhI3EvYHDqSz,quiet village - original mono version,martin denny,220240,"{'danceability': 0.818, 'energy': 0.482, 'key': 2, 'loudness': -8.915, 'mode': 0, 'speechiness': 0.0538, 'acousticness': 0.685, 'instrumentalness': 0.119, 'liveness': 0.228, 'valence': 0.299, 'tempo': 114.324}",0
68,"""my heart is an open book""",carl dobkins jr.,1959,4oPoduVWqtgmHj7L2aIM9Y,my heart is an open book,"carl dobkins, jr.",120320,"{'danceability': 0.74, 'energy': 0.428, 'key': 4, 'loudness': -10.398, 'mode': 1, 'speechiness': 0.0928, 'acousticness': 0.582, 'instrumentalness': 1.63e-06, 'liveness': 0.194, 'valence': 0.731, 'tempo': 134.008}",0
69,"""(till) i kissed you""",the everly brothers,1959,09gdJbBFAQAdfUFhzZamhv,(till) i kissed you,the everly brothers,146053,"{'danceability': 0.567, 'energy': 0.457, 'key': 10, 'loudness': -10.434, 'mode': 0, 'speechiness': 0.0449, 'acousticness': 0.581, 'instrumentalness': 0, 'liveness': 0.362, 'valence': 0.663, 'tempo': 140.725}",0
70,"""sea of love""",phil phillips,1959,0Jbcki0GtjK4CdPlmZO8XR,sea of love,phil phillips,142360,"{'danceability': 0.399, 'energy': 0.458, 'key': 7, 'loudness': -9.828, 'mode': 1, 'speechiness': 0.0283, 'acousticness': 0.915, 'instrumentalness': 0.00112, 'liveness': 0.165, 'valence': 0.304, 'tempo': 85.509}",0
71,"""the happy organ""",dave cortez,1959,6fOxrKUo3f9OX2z6YrBpwy,the happy organ,"dave ""baby"" cortez",125200,"{'danceability': 0.635, 'energy': 0.888, 'key': 1, 'loudness': -6.811, 'mode': 1, 'speechiness': 0.0313, 'acousticness': 0.536, 'instrumentalness': 0.144, 'liveness': 0.0743, 'valence': 0.97, 'tempo': 91.22}",0
72,"""im gonna get married""",lloyd price,1959,1jKcwPfDloLOMxC1wMV0ux,im gonna get married,lloyd price,143000,"{'danceability': 0.569, 'energy': 0.514, 'key': 7, 'loudness': -9.369, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.765, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.63, 'tempo': 119.518}",0
73,"""sorry (i ran all the way home)""",the impalas,1959,6nii2N9mhMpEXzYZHMCnX2,sorry (i ran all the way home),the impalas,149666,"{'danceability': 0.668, 'energy': 0.328, 'key': 3, 'loudness': -12.917, 'mode': 1, 'speechiness': 0.0389, 'acousticness': 0.702, 'instrumentalness': 0.00913, 'liveness': 0.121, 'valence': 0.885, 'tempo': 131.775}",0
74,"""a teenager in love""",dion and the belmonts,1959,0QGwOFQChzflLAmPq5NwKo,a teenager in love,dion & the belmonts,158253,"{'danceability': 0.555, 'energy': 0.377, 'key': 1, 'loudness': -9.123, 'mode': 1, 'speechiness': 0.0295, 'acousticness': 0.671, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.619, 'tempo': 78.986}",0
75,"""16 candles""",the crests,1959,7u4cRwR5sdV874GRRLWXp7,16 candles,the crests,172266,"{'danceability': 0.548, 'energy': 0.332, 'key': 10, 'loudness': -13.075, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.824, 'instrumentalness': 0, 'liveness': 0.302, 'valence': 0.653, 'tempo': 114.671}",0
76,"""its just a matter of time""",brook benton,1959,3UjVdOZBluypI9Qdc4IPsB,its just a matter of time - rerecorded,brook benton,145066,"{'danceability': 0.571, 'energy': 0.273, 'key': 3, 'loudness': -13.659, 'mode': 1, 'speechiness': 0.0331, 'acousticness': 0.858, 'instrumentalness': 0.151, 'liveness': 0.17, 'valence': 0.471, 'tempo': 100.966}",0
77,"""lipstick on your collar""",connie francis,1959,5Y1GkapUCSqXvoAujohJL2,lipstick on your collar,connie francis,138933,"{'danceability': 0.538, 'energy': 0.884, 'key': 7, 'loudness': -7.74, 'mode': 1, 'speechiness': 0.0481, 'acousticness': 0.833, 'instrumentalness': 0.000307, 'liveness': 0.193, 'valence': 0.901, 'tempo': 165.624}",0
78,"""there goes my baby""",the drifters,1959,2s4B4fUlVIkE4ELgoupjXL,there goes my baby,the drifters,129613,"{'danceability': 0.241, 'energy': 0.564, 'key': 6, 'loudness': -6.544, 'mode': 0, 'speechiness': 0.0347, 'acousticness': 0.591, 'instrumentalness': 0, 'liveness': 0.704, 'valence': 0.642, 'tempo': 77.378}",0
79,"""a big hunk o love""",elvis presley,1959,6PUsG2iMvCjnPFLjydO1RR,a big hunk o love,elvis presley,133093,"{'danceability': 0.551, 'energy': 0.934, 'key': 7, 'loudness': -6.66, 'mode': 0, 'speechiness': 0.0481, 'acousticness': 0.822, 'instrumentalness': 0.143, 'liveness': 0.419, 'valence': 0.96, 'tempo': 87.055}",0
80,"""red river rock""",johnny and the hurricanes,1959,643QHUvRNchbEDfcDvMILB,red river rock,johnny & the hurricanes,138240,"{'danceability': 0.339, 'energy': 0.935, 'key': 11, 'loudness': -4.802, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.662, 'instrumentalness': 0.000749, 'liveness': 0.182, 'valence': 0.783, 'tempo': 151.348}",0
81,"""waterloo""",stonewall jackson,1959,3YXPyakTFaoVS2ffimogLR,waterloo,stonewall jackson,146933,"{'danceability': 0.463, 'energy': 0.607, 'key': 8, 'loudness': -10.714, 'mode': 0, 'speechiness': 0.0299, 'acousticness': 0.482, 'instrumentalness': 0, 'liveness': 0.117, 'valence': 0.964, 'tempo': 203.85}",0
82,"""lavender blue""",sammy turner,1959,0caUJLmlwj27eOHjeC4nzg,lavender blue,sammy turner,136932,"{'danceability': 0.482, 'energy': 0.339, 'key': 3, 'loudness': -11.716, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.768, 'instrumentalness': 0, 'liveness': 0.292, 'valence': 0.396, 'tempo': 115.034}",0
83,"""(now and then theres) a fool such as i""",elvis presley,1959,53Wf6uVFYa1Ef1pltkA54Q,(now and then theres) a fool such as i,elvis presley,157533,"{'danceability': 0.622, 'energy': 0.713, 'key': 0, 'loudness': -8.104, 'mode': 1, 'speechiness': 0.0709, 'acousticness': 0.91, 'instrumentalness': 0.000179, 'liveness': 0.147, 'valence': 0.601, 'tempo': 128.751}",0
84,"""guitar boogie shuffle""",the virtues,1959,6CIHxvT7MnSGsJLCoihLtV,guitar boogie shuffle,frank virture and the virtues,156800,"{'danceability': 0.542, 'energy': 0.946, 'key': 4, 'loudness': -7.03, 'mode': 1, 'speechiness': 0.0578, 'acousticness': 0.105, 'instrumentalness': 0.0309, 'liveness': 0.0854, 'valence': 0.482, 'tempo': 93.164}",0
85,"""teen beat""",sandy nelson,1959,0b6gDFi2UJhDDFk3vOIHxL,teen beat,sandy nelson,182533,"{'danceability': 0.379, 'energy': 0.754, 'key': 6, 'loudness': -12.292, 'mode': 0, 'speechiness': 0.0581, 'acousticness': 0.0149, 'instrumentalness': 0.835, 'liveness': 0.104, 'valence': 0.537, 'tempo': 187.07}",0
86,"""kookie, kookie (lend me your comb)""",edd byrnes & connie stevens,1959,4mTRI1GgULY7tYo7WS9nbb,kookie kookie (lend me your comb),connie stevens with edd byrnes,127133,"{'danceability': 0.806, 'energy': 0.811, 'key': 3, 'loudness': -8.019, 'mode': 1, 'speechiness': 0.0518, 'acousticness': 0.779, 'instrumentalness': 6.44e-05, 'liveness': 0.223, 'valence': 0.922, 'tempo': 128.547}",1
