,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Agency,Communion,Social Connection,Antisocial,Positive,Year,Year_Bin,female,male,other,length,curse words,sexual,religion,money,know,like,go,have,want,love,dream,heart,dance,rock,music,fuck,damn,shit,hell,bitch
0,0,0,0,0,0,0.0144230769230769,0.0,0.0095238095238095,0.0,0.0,1958,1950s,0.0,0.0,0.0,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0.1477272727272727,0.0,0.1011235955056179,0.0,0.0168539325842696,1958,1950s,0.0,0.0,0.0,832,0.0,0.0112359550561797,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.034090909090909,0.0113636363636363,0.1477272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,2,2,0.0833333333333333,0.0,0.1283783783783783,0.0,0.0405405405405405,1958,1950s,0.0,0.0,0.0,599,0.0,0.0135135135135135,0.0067567567567567,0.0,0.0,0.0083333333333333,0.0,0.0,0.0166666666666666,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,3,3,3,0.0482180293501048,0.0062893081761006,0.0977596741344195,0.0061099796334012,0.0285132382892057,1958,1950s,0.0,0.0146750524109014,0.0125786163522012,2366,0.0,0.0122199592668024,0.0,0.0,0.0020964360587002,0.0020964360587002,0.0398322851153039,0.0,0.0,0.0125786163522012,0.0,0.0020964360587002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,4,4,4,0.0070921985815602,0.0,0.1677852348993288,0.0,0.0738255033557047,1958,1950s,0.0709219858156028,0.0,0.0141843971631205,762,0.0,0.0134228187919463,0.0067114093959731,0.0134228187919463,0.0,0.0141843971631205,0.0,0.0141843971631205,0.0141843971631205,0.0,0.0141843971631205,0.0070921985815602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,5,5,5,0.0439560439560439,0.0109890109890109,0.1318681318681318,0.0,0.0769230769230769,1958,1950s,0.0219780219780219,0.0,0.0,498,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329670329670329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,0.0,0.0,0.1,0.0,0.0347826086956521,1958,1950s,0.0088105726872246,0.0,0.0088105726872246,1116,0.0,0.008695652173913,0.0,0.0,0.0,0.0,0.0,0.0088105726872246,0.0088105726872246,0.0088105726872246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0,1958,1950s,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,8,8,8,0.0,0.0093457943925233,0.2105263157894736,0.0,0.043859649122807,1958,1950s,0.0,0.0186915887850467,0.0,543,0.0,0.0263157894736842,0.0,0.0,0.0093457943925233,0.0,0.0,0.0186915887850467,0.0,0.0093457943925233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0373831775700934,0.0
9,9,9,9,9,9,0.1578947368421052,0.0,0.0808080808080808,0.0,0.0505050505050505,1958,1950s,0.0,0.0,0.0,450,0.0,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105263157894736,0.0,0.031578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
